GEO_ID,Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,Annotation of Margin of Error!!Households!!Total,Annotation of Estimate!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Annotation of Margin of Error!!Households!!Total!!Less than $10,000","Annotation of Estimate!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Households!!Total!!$10,000 to $14,999","Annotation of Estimate!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Annotation of Margin of Error!!Households!!Total!!$15,000 to $24,999","Annotation of Estimate!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Annotation of Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Annotation of Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Annotation of Margin of Error!!Households!!Total!!$35,000 to $49,999","Annotation of Estimate!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Annotation of Margin of Error!!Households!!Total!!$50,000 to $74,999","Annotation of Estimate!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Households!!Total!!$75,000 to $99,999","Annotation of Estimate!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Annotation of Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Annotation of Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Annotation of Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Annotation of Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Annotation of Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Annotation of Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Annotation of Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),,"Number of households less than $50,000"
0500000US30075,Powell County,2300,141,null,null,4.1,2.3,null,null,8.6,4.5,null,null,10.9,4,null,null,14.7,null,5.8,null,10.7,3.7,null,null,20.5,4.9,null,null,13.6,4.1,null,null,12.3,null,4.3,null,2.4,null,1.6,null,2.2,null,1.3,null,53111,null,9698,null,63326,,49
0500000US30077,Prairie County,484,61,null,null,6,4.8,null,null,8.1,5.8,null,null,12.4,5.8,null,null,10.1,null,5.3,null,16.1,6.2,null,null,20.2,7.7,null,null,11,6.4,null,null,9.5,null,6,null,2.7,null,3.1,null,3.9,null,3.7,null,44500,null,13477,null,65067,,52.7
0500000US30079,Ravalli County,18749,345,null,null,6.7,1.7,null,null,2.7,0.8,null,null,9,1.6,null,null,9.8,null,1.7,null,13.2,2,null,null,20.9,2.6,null,null,13.3,1.4,null,null,14.4,null,1.9,null,4.8,null,1.2,null,5.3,null,1.2,null,59640,null,3687,null,80721,,41.4
0500000US30081,Richland County,4540,229,null,null,6.4,2.6,null,null,4.3,2.1,null,null,8.2,2.6,null,null,8.1,null,2.5,null,14.5,4,null,null,16.7,3.6,null,null,15.2,3.3,null,null,18,null,3.3,null,4.7,null,1.6,null,3.9,null,1.8,null,62530,null,5808,null,75636,,41.5
0500000US30083,Roosevelt County,3122,86,null,null,11.7,2.3,null,null,7.8,1.9,null,null,9.3,2.8,null,null,10.7,null,2.3,null,13.4,2.9,null,null,20.8,3.8,null,null,8.2,2.1,null,null,11.4,null,2,null,5.1,null,1.2,null,1.6,null,0.9,null,47182,null,3290,null,58273,,52.9
0500000US30085,Rosebud County,2944,116,null,null,9.2,3,null,null,7.2,2.5,null,null,7.5,3.1,null,null,9.9,null,2.5,null,8.9,2.2,null,null,20,4.3,null,null,15.3,3.2,null,null,15.6,null,3.6,null,4.3,null,2.2,null,2.1,null,1.1,null,59339,null,4053,null,68208,,42.7
0500000US30087,Sanders County,5390,176,null,null,5.8,1.4,null,null,7.5,1.9,null,null,14.1,2.9,null,null,12.2,null,2.3,null,13.1,2.6,null,null,23.2,3.9,null,null,9.1,3,null,null,10.3,null,2.5,null,1.8,null,0.8,null,2.8,null,1.1,null,46848,null,5061,null,59979,,52.7
0500000US30089,Sheridan County,1444,95,null,null,3.5,1.6,null,null,4.1,1.4,null,null,9.6,2.7,null,null,14.3,null,4,null,10.9,3.5,null,null,17.5,3.1,null,null,10.7,3.2,null,null,17.3,null,4.1,null,6.5,null,2.6,null,5.7,null,2.6,null,58786,null,5485,null,89051,,42.4
0500000US30091,Silver Bow County,15028,383,null,null,7.8,1.8,null,null,6.8,1.7,null,null,10.6,2,null,null,10.6,null,2.2,null,13.8,2.3,null,null,19.4,2.8,null,null,10,1.8,null,null,12.7,null,1.7,null,4.6,null,1.1,null,3.6,null,1.2,null,50331,null,3538,null,68196,,49.6
0500000US30093,Stillwater County,3733,141,null,null,3.5,1.1,null,null,3.2,1.4,null,null,6.9,1.8,null,null,8,null,2.1,null,11.5,2.3,null,null,17.8,3.2,null,null,13.8,2.6,null,null,18.3,null,3.1,null,10.4,null,2.2,null,6.6,null,1.9,null,72906,null,6531,null,90890,,33.1
0500000US30095,Sweet Grass County,1389,107,null,null,2.6,1.5,null,null,2.4,2.3,null,null,8.8,3.4,null,null,8,null,3.2,null,16.1,4.5,null,null,22.6,5.5,null,null,18.1,5.6,null,null,14.9,null,3.9,null,3.2,null,1.7,null,3.5,null,2.3,null,59238,null,4802,null,75939,,37.9
0500000US30097,Teton County,2428,126,null,null,3,1.4,null,null,4.4,2.4,null,null,9.4,2.3,null,null,11.7,null,2.3,null,12.6,2.3,null,null,25.2,3.1,null,null,14,2.4,null,null,13.1,null,2.5,null,3.7,null,1.3,null,3,null,1.4,null,60431,null,4341,null,72571,,41.1
0500000US30099,Toole County,1805,130,null,null,2.3,1.7,null,null,4.9,2.5,null,null,11,4.7,null,null,7.9,null,3.4,null,21,6.8,null,null,20.1,4.2,null,null,10.8,3.9,null,null,10,null,2.9,null,5.1,null,2.4,null,6.9,null,3.7,null,54137,null,5905,null,78000,,47.1
0500000US30101,Treasure County,335,52,null,null,4.8,4.1,null,null,5.4,4.2,null,null,4.5,3.7,null,null,15.8,null,5.5,null,16.7,6.9,null,null,18.8,8.1,null,null,17.3,6.9,null,null,10.4,null,5.6,null,1.5,null,1.6,null,4.8,null,4.1,null,55313,null,17045,null,69036,,47.2
0500000US30103,Valley County,2892,157,null,null,4,1.7,null,null,4.2,2.3,null,null,12.1,3.7,null,null,13.3,null,3.8,null,12.8,3.2,null,null,18.8,4.2,null,null,13.1,3.1,null,null,13.5,null,3,null,4.9,null,2.1,null,3.4,null,1.6,null,53667,null,4032,null,68359,,46.4
0500000US30105,Wheatland County,839,67,null,null,21.1,9.2,null,null,4.1,2.3,null,null,9.8,3.9,null,null,11,null,5.2,null,13.1,4.3,null,null,13.2,5.1,null,null,11.3,4.7,null,null,9.1,null,4.3,null,5.4,null,3.4,null,2,null,2,null,38893,null,7098,null,54174,,59.1
0500000US30107,Wibaux County,422,56,null,null,7.3,5.1,null,null,0.9,1.1,null,null,11.4,7,null,null,8.3,null,5.6,null,23.5,7.5,null,null,10.9,5.7,null,null,13.5,7.3,null,null,20.6,null,8.3,null,2.6,null,2.9,null,0.9,null,1.6,null,49000,null,11540,null,64646,,51.4
0500000US30109,Yellowstone County,67000,553,null,null,4.6,0.6,null,null,3.2,0.6,null,null,8.7,0.9,null,null,9.1,null,1.2,null,11.5,1,null,null,19.5,1.4,null,null,13.7,1,null,null,15.7,null,1.1,null,6.6,null,0.7,null,7.3,null,1,null,65656,null,1785,null,91222,,37.1
0500000US30111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
